TagName	TagIndex	TagType	TagDataType
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1001PumpTempSensorAI_ENG	28	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1002PumpTempSensorAI_ENG	29	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1003PumpTempSensorAI_ENG	30	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1004PumpTempSensorAI_ENG	31	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1005PumpTempSensorAI_ENG	32	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1006PumpTempSensorAI_ENG	33	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1007PumpTempSensorAI_ENG	34	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1008PumpTempSensorAI_ENG	35	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1009PumpTempSensorAI_ENG	36	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1010PumpTempSensorAI_ENG	37	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1011PumpTempSensorAI_ENG	38	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TC1012PumpTempSensorAI_ENG	39	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TT1001MainWaterTemperatureAI_ENG	40	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TT2001PELubeTankTempAI_ENG	41	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\TT2002PELubeSupplyTempAI_ENG	42	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\CHOKE_TAGS\CV1002ChokeValvePositionSetpoint	43	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\CHOKE_TAGS\CV1002ChokeValveStop	44	3	-1
